id,Booking_status,Probability
42100,0,0.07742084
42101,0,0.027663609
42102,0,0.27813005
42103,0,0.17309171
42104,0,0.46767855
42105,1,0.5370561
42106,1,0.54566664
42107,1,0.77068186
42108,0,2.0549722e-08
42109,1,0.6095192
42110,1,0.70521057
42111,0,0.3324021
42112,0,0.43815193
42113,0,0.112936296
42114,0,0.29757598
42115,1,0.8530275
42116,0,0.039991394
42117,0,0.26750395
42118,1,0.87587595
42119,1,0.86328083
42120,1,0.8907362
42121,0,0.2442971
42122,0,0.0088746175
42123,1,0.5390336
42124,1,0.7908372
42125,0,0.00358621
42126,0,0.0
42127,0,0.00442352
42128,0,0.45648465
42129,1,0.7458874
42130,1,0.88720155
42131,1,0.55533034
42132,0,0.30124965
42133,1,0.9709627
42134,0,0.46743634
42135,0,2.6162098e-16
42136,0,0.027381163
42137,1,0.58369607
42138,1,0.6953073
42139,1,0.8687816
42140,0,0.003248575
42141,0,0.21542089
42142,1,0.68377674
42143,1,0.90096253
42144,0,0.07870615
42145,1,0.8289589
42146,0,0.048981994
42147,1,0.8919337
42148,1,0.55569094
42149,0,0.46495467
42150,0,0.3437548
42151,1,0.66013676
42152,1,0.74778885
42153,0,0.13282445
42154,1,0.55935013
42155,0,0.471202
42156,0,0.38435495
42157,0,0.020395687
42158,0,0.25705403
42159,1,0.8002854
42160,1,0.70634377
42161,0,2.7075369e-06
42162,0,0.030183863
42163,0,0.032987695
42164,1,0.82535547
42165,0,0.38587984
42166,1,0.72643036
42167,0,2.1265452e-09
42168,1,0.65778077
42169,1,0.5032784
42170,0,0.01908539
42171,0,0.08540591
42172,0,0.36209697
42173,1,0.8322671
42174,0,0.14426184
42175,0,0.2626107
42176,1,0.8951711
42177,0,0.1372989
42178,0,0.050007705
42179,1,0.87661344
42180,1,0.6697034
42181,0,0.49224234
42182,1,0.7041089
42183,0,0.4326464
42184,0,0.10509598
42185,0,0.19448444
42186,0,0.19593531
42187,0,0.41529495
42188,0,0.041840624
42189,0,0.17536773
42190,0,0.31888652
42191,0,0.39407107
42192,0,0.28018573
42193,0,0.27931923
42194,0,0.29305848
42195,1,0.89689136
42196,1,0.8490002
42197,1,0.5208317
42198,1,0.5846874
42199,1,0.52289164
42200,1,0.5671028
42201,1,0.74480516
42202,0,0.48041525
42203,0,0.35503677
42204,1,0.7396387
42205,0,0.19967169
42206,0,0.010670497
42207,1,0.767672
42208,0,0.04714413
42209,0,0.34390542
42210,0,0.29310724
42211,0,0.2762095
42212,0,0.29180548
42213,1,0.8567023
42214,1,0.8771639
42215,0,0.44307083
42216,1,0.6065329
42217,0,0.15828604
42218,0,0.030027393
42219,0,0.12916751
42220,0,0.46132034
42221,1,0.76231414
42222,0,0.498975
42223,0,0.13894178
42224,1,0.90308684
42225,1,0.7421254
42226,1,0.87802166
42227,0,0.047497313
42228,0,0.45675975
42229,0,0.07540285
42230,0,0.3123578
42231,1,0.7005996
42232,1,0.9188348
42233,0,0.079759896
42234,1,0.90601
42235,0,0.13391434
42236,0,0.03287599
42237,1,0.76048934
42238,0,0.36609516
42239,0,0.23142868
42240,1,0.93116575
42241,1,0.69522643
42242,0,0.09694987
42243,1,0.90205824
42244,0,0.29399335
42245,1,0.7108613
42246,1,0.92007333
42247,1,0.78585553
42248,1,0.52919304
42249,1,0.87941575
42250,0,0.45139813
42251,0,0.22642975
42252,1,0.8039109
42253,1,0.78159577
42254,0,0.062574476
42255,0,0.104748525
42256,1,0.66487825
42257,1,0.69351137
42258,0,0.39633235
42259,1,0.7778912
42260,1,0.7107219
42261,1,0.68536973
42262,1,0.8360093
42263,1,0.9418634
42264,0,0.08387628
42265,1,0.8001047
42266,0,0.0377849
42267,0,0.21788736
42268,1,0.80922854
42269,0,0.112086564
42270,1,0.86635315
42271,1,0.78478485
42272,0,0.04516823
42273,0,0.11878267
42274,1,0.87343395
42275,0,0.26610336
42276,0,0.13748433
42277,0,0.061593927
42278,0,0.030867748
42279,0,0.31174806
42280,0,0.3715889
